[2024-01-04 13:27:31,686] INFO [Controller id=0 epoch=1] Sending UpdateMetadata request to brokers Set() for 0 partitions (state.change.logger)
[2024-01-04 13:39:30,534] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers Set(0) for 0 partitions (state.change.logger)
[2024-01-04 13:39:30,876] INFO [Controller id=0 epoch=2] Sending LeaderAndIsr request to broker 0 with 51 become-leader and 0 become-follower partitions (state.change.logger)
[2024-01-04 13:39:30,880] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers Set(0) for 51 partitions (state.change.logger)
[2024-01-04 13:39:30,947] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2024-01-04 13:39:31,693] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,715] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,755] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,770] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,785] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,796] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,810] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,838] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,851] INFO [Broker id=0] Leader flight_delay_classification_request-0 with topic id Some(cqQYW58sSLGG4eRh0zeAtQ) starts at leader epoch 0 from offset 5 with partition epoch 0, high watermark 5, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2024-01-04 13:39:31,851] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(bWFSrLfrRSCYn2qQKRwsog) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
